id;name;campaign_script_id;campaign_template_id;group_user;display_phone;start_date;end_date;status;create_datetime;create_user;update_datetime;update_user
1;Maine;88855;11826;payment next-generation;responsive XSS Tenge;2021-06-15T18:34:16;2021-06-15T18:51:12;payment Intelligent;2021-06-15T11:49:21;29498;2021-06-15T06:01:07;16339
2;Key teal;980;3528;Functionality Books;Buckinghamshire;2021-06-15T03:19:44;2021-06-15T16:44:54;Personal Loan Account online;2021-06-15T10:10:58;5418;2021-06-16T00:25:38;78625
3;leading-edge Rufiyaa Chief;53432;85436;out-of-the-box;override Books Chief;2021-06-15T22:18:00;2021-06-15T05:59:30;hacking;2021-06-15T11:42:49;50915;2021-06-15T22:45:37;48246
4;California Automotive;80166;67660;user-centric Savings Account;monitor;2021-06-15T20:04:18;2021-06-15T10:08:10;Lek real-time;2021-06-15T12:12:29;1968;2021-06-15T14:27:58;45718
5;index program quantify;27341;84183;connecting Re-contextualized;Orchestrator Customer-focused;2021-06-15T03:27:41;2021-06-15T18:40:05;Plain;2021-06-16T01:52:20;6680;2021-06-15T01:56:29;97509
6;Common;33320;231;generating Buckinghamshire Personal Loan Account;Sleek;2021-06-15T14:49:01;2021-06-15T05:59:48;Arizona Investment Account;2021-06-15T10:30:36;44199;2021-06-15T04:55:42;50857
7;5th generation;37736;83730;Assistant Gorgeous Metal Cheese Coordinator;Buckinghamshire sky blue ubiquitous;2021-06-15T07:17:32;2021-06-15T22:56:13;Automotive;2021-06-15T15:35:41;43919;2021-06-15T08:51:59;52424
8;Usability;38049;23070;Supervisor override;programming Tools;2021-06-15T17:36:00;2021-06-15T19:16:49;foreground Fresh;2021-06-15T08:57:54;98185;2021-06-15T12:30:18;44080
9;Security 1080p;15111;77435;compressing;middleware Junction deposit;2021-06-15T05:42:31;2021-06-15T19:33:58;Bedfordshire Mobility overriding;2021-06-15T06:39:28;50706;2021-06-15T02:16:56;26020
10;withdrawal Web;8864;6296;actuating;connecting Graphical User Interface Intelligent;2021-06-15T23:21:13;2021-06-15T08:24:50;Chair Antarctica (the territory South of 60 deg S);2021-06-15T18:09:57;26569;2021-06-15T07:54:51;24379
