id;campaign_resource_id;phone_number;status;create_datetime;create_user;assign_user_id;group_id;call_status;campaign_id
1;26441;Soft;Corners Global;2021-06-27T22:59:08;75105;76745;93753;backing up;11125
2;17017;withdrawal;bi-directional archive deposit;2021-06-27T09:54:23;3301;74447;85048;deposit;33558
3;92033;Georgia next generation;expedite 5th generation;2021-06-27T16:51:27;6866;22280;50998;solid state maroon;62911
4;55397;overriding Mouse eyeballs;Tasty Dynamic Dynamic;2021-06-27T09:25:44;66616;45349;33967;hard drive redundant quantifying;51303
5;20838;Movies Metal International;HDD Pass overriding;2021-06-27T14:09:42;73044;73943;22279;compressing Upgradable;51266
6;93102;maroon Centers Borders;Berkshire Afghanistan Skyway;2021-06-28T02:37:06;79398;92537;68609;application;86313
7;80663;Concrete backing up Rustic Fresh Towels;Cotton;2021-06-27T22:12:24;73955;32109;37551;Handcrafted parse copying;54146
8;91964;Rubber;Jewelery Forward;2021-06-27T09:18:58;95745;5723;25851;Greens Tuna Small;91947
9;33787;Soft;Money Market Account Analyst;2021-06-27T09:39:50;9823;25902;50779;Malagasy Ariary Keyboard;49400
10;19487;transmitting;Devolved Rhode Island e-tailers;2021-06-27T19:27:36;93671;87851;39492;Cambridgeshire;1448
