id;menu_id;menu_item_code;menu_item_name;is_default;order_index;status;description;update_time;update_user;icon;url;parent_id
1;30737;COM Ergonomic;Shoes success;63272;68090;67836;primary;2021-06-08T09:22:32;North;even-keeled Toys;https://tito.com;61912
2;14534;navigating;Savings;99452;13603;28850;Rupee Dollar;2021-06-08T14:54:38;Dollar;Rand;http://esta.name;40728
3;5253;transmitting;Sleek;31660;36807;58136;Future Territories;2021-06-08T20:13:11;Exclusive vertical cross-platform;azure;https://destiny.biz;70030
4;51757;Avon;indexing;37714;21261;25971;ADP Junction;2021-06-08T15:44:39;context-sensitive index Handmade;partnerships;http://trent.biz;32944
5;51242;Shirt;Direct Interface Auto;83987;66636;56687;empower Arab Burg;2021-06-08T22:08:43;Shirt Product;Mouse Accountability;http://consuelo.net;34904
6;62793;Kip Cotton Principal;Cuban mobile Account;49187;9675;89645;Licensed back Borders;2021-06-08T04:20:32;mint Intranet back-end;payment connect;https://camron.name;64004
7;5099;Dynamic;revolutionize California;49598;94011;55479;Steel transmit;2021-06-08T11:10:59;Branding Trail withdrawal;Fantastic;https://gerard.info;60744
8;90663;Research turquoise incentivize;monetize drive generating;29355;41251;55158;hard experiences;2021-06-08T16:15:35;Shirt;green cutting-edge Technician;https://rocio.org;39314
9;13293;Ball quantifying;Berkshire Rubber;17609;43000;49090;attitude-oriented technologies Ball;2021-06-08T18:45:10;Outdoors;invoice Investor New;https://camren.info;48738
10;2572;(Slovak Industrial;context-sensitive;37783;97413;62891;Associate;2021-06-08T12:34:52;Berkshire bypassing;Kyat Beauty Garden;https://delpha.com;81991
