id;name;parent_id;status;create_datetime;create_user
1;invoice infomediaries;target Fantastic Universal;Mountain;2021-06-25T21:13:08;33767
2;hacking parse;neural El Salvador Colon US Dollar;Maine hacking;2021-06-25T21:24:41;665
3;azure Auto Loan Account optical;Aruban Guilder;optimize;2021-06-26T05:42:06;75807
4;hard drive;Down-sized fault-tolerant Rustic;program teal Distributed;2021-06-25T22:03:13;89722
5;Multi-tiered Technician Buckinghamshire;maximize invoice;Money Market Account Cheese;2021-06-26T06:05:26;97470
6;Handmade;envisioneer;bi-directional;2021-06-25T21:05:09;93343
7;Games;Personal Loan Account;sensor Uzbekistan turn-key;2021-06-26T01:17:56;88757
8;Home Loan Account;Pataca;array microchip;2021-06-26T01:58:31;7218
9;bluetooth;Buckinghamshire;back up;2021-06-26T02:30:15;87803
10;indigo Unbranded;New Mexico Unbranded Frozen Pants;New Mexico Small Plastic Gloves;2021-06-26T10:20:43;54815
