id;process_ticket_id;ticket_id;ticket_request_id;content;department_id;create_user;create_datetime;status
1;66053;68958;85008;cyan;14470;69411;2021-06-10T09:00:31;South Africa Electronics
2;22129;39451;31260;Intelligent Wooden Soap Maine Auto Loan Account;15118;91368;2021-06-10T00:17:02;Handmade Soft Bacon
3;90238;84510;6227;intranet vortals deposit;15998;376;2021-06-10T06:05:43;Salad Research Research
4;75281;83568;88934;compelling;89558;94943;2021-06-09T21:52:43;Shoes
5;21931;61955;4204;Ball;11444;94744;2021-06-10T04:16:36;Iraqi Dinar Svalbard & Jan Mayen Islands
6;91323;66538;58653;invoice web-enabled Beauty;81438;819;2021-06-10T10:44:14;redundant
7;95293;43893;84011;Berkshire utilize;24389;60035;2021-06-10T12:24:31;responsive
8;10485;56118;99113;Expanded web-readiness Auto Loan Account;52988;59887;2021-06-10T09:00:33;Industrial Specialist
9;81338;52771;58737;Distributed Tanzanian Shilling;13296;32828;2021-06-10T01:34:08;Intuitive Bedfordshire Integrated
10;59794;54557;34539;Avon Executive back-end;9729;47003;2021-06-10T03:11:57;platforms Isle Credit Card Account
