id;ticket_id;channel_type;ticket_code;customer_id;status;fcr;department_id;create_user;create_datetime;update_datetime
1;74562;compress Grocery;SMTP core bus;4384;Granite;deliverables Afghanistan Planner;87143;7943;2021-01-04T08:34:18;2021-01-04T15:09:32
2;70362;Licensed;Borders quantifying;59471;executive;interfaces Concrete;26359;63177;2021-01-04T16:13:33;2021-01-04T08:03:44
3;40979;Fish;B2C ubiquitous;75160;Applications;Savings Account Toys;90;12210;2021-01-04T16:01:56;2021-01-05T06:13:34
4;21261;Handcrafted Investment Account;archive;32198;driver;Computer benchmark Crest;74290;59634;2021-01-04T14:32:48;2021-01-05T07:14:59
5;59137;Zloty Generic;wireless;23033;SAS;Group Balanced;66112;7669;2021-01-05T06:51:45;2021-01-05T06:17:17
6;91637;Jewelery Colombian Peso Unidad de Valor Real Bike;Accounts Berkshire;41639;Credit Card Account expedite;directional;61187;71485;2021-01-04T07:49:59;2021-01-05T02:02:08
7;38179;utilize Checking Account;Investor schemas;79777;Nauru Concrete focus group;Avon Sausages Computer;27632;10133;2021-01-04T10:41:44;2021-01-04T18:41:53
8;94684;Netherlands Antillian Guilder Chad Rustic;Dynamic transmit virtual;9498;deposit XML Technician;hacking Baby Human;18214;48181;2021-01-04T09:13:00;2021-01-05T04:37:30
9;42643;Assurance deposit;TCP Small Fresh Chicken;12459;strategy;e-business initiatives open-source;22112;67764;2021-01-05T03:21:27;2021-01-04T20:33:34
10;1743;contingency human-resource;impactful neural;56919;Handcrafted Plastic Shirt Handmade Soft Pizza;online;98050;76401;2021-01-04T23:58:47;2021-01-05T00:32:20
